unit_id,name,S,P,V,INC,TOUR_acc,TOUR_ski,z_pop,z_cars,z_cars_income,z_cars_income_tour,z,p_two,q_fdr,lisa,lisa_p,border_band,dist_no_km,dist_fi_km
SE_1885,Lindesberg,23292.0,10,13320.0,326.2,27.0,0.0,-0.006,-0.111,-0.587,-0.662,-0.662,0.5568096482121954,0.9927053949436064,LL,0.037,interior,139.411,209.276
SE_2104,Hofors,9374.0,4,5500.0,336.0,7.0,1.0,-0.742,-0.733,-0.794,-0.649,-0.649,0.6275417709744177,0.9927053949436064,ns,0.365,interior,192.922,136.426
SE_1445,Essunga,5656.0,2,3620.0,325.7,0.0,0.0,-1.165,-1.189,-1.336,-0.642,-0.642,0.6539263424547107,0.9927053949436064,ns,0.945,interior,90.519,424.572
SE_1286,Ystad,31911.0,10,16580.0,347.7,31.0,0.0,-0.325,-0.361,-0.445,-0.636,-0.636,0.4658546250681308,0.9927053949436064,ns,0.155,interior,392.949,595.055
SE_1715,Kil,12085.0,4,7058.0,348.3,4.0,2.0,-0.88,-0.919,-0.852,-0.592,-0.592,0.5489717578433735,0.9927053949436064,ns,0.174,interior,52.092,328.706
SE_1430,Munkedal,10502.0,5,6533.0,331.7,12.0,1.0,-0.398,-0.474,-0.625,-0.588,-0.588,0.588328631570944,0.9927053949436064,ns,0.461,interior,10.87,445.522
SE_1762,Munkfors,3669.0,2,2260.0,306.1,5.0,0.0,-0.56,-0.464,-0.737,-0.578,-0.578,0.529272530047413,0.9927053949436064,LL,0.033,interior,54.811,309.265
SE_0192,Nynäshamn,30311.0,7,12884.0,346.1,12.0,0.0,-0.953,-0.688,-0.794,-0.574,-0.574,0.47114478568977947,0.9927053949436064,LL,0.013,interior,317.163,136.705
SE_1282,Landskrona,47134.0,12,20549.0,320.6,12.0,0.0,-0.459,-0.274,-1.189,-0.573,-0.573,0.4882056113177955,0.9927053949436064,ns,0.312,interior,333.293,599.358
SE_1277,Åstorp,16458.0,5,8511.0,325.4,3.0,0.0,-0.91,-0.838,-1.241,-0.572,-0.572,0.5850988723582262,0.9927053949436064,ns,0.585,interior,312.435,574.89
SE_1492,Åmål,12006.0,7,6565.0,311.5,32.0,4.0,0.111,0.227,-0.248,-0.57,-0.57,0.588807613922297,0.9927053949436064,ns,0.185,interior,36.632,381.38
SE_1283,Helsingborg,151306.0,31,66804.0,341.1,36.0,0.0,0.087,-0.008,-0.951,-0.555,-0.555,0.6021173055771972,0.9927053949436064,ns,0.504,interior,304.893,581.876
SE_0563,Valdemarsvik,7541.0,5,4300.0,303.6,23.0,0.0,-0.014,0.107,-0.382,-0.553,-0.553,0.6079616350511958,0.9927053949436064,ns,0.849,interior,270.783,235.459
